                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.84297,                0.58501,                 1.0269,                0.93115,                0.89993,                0.95802,                0.71621,                0.90213,                0.58669,                 1.0718,             0.00032553,             0.00032553,             0.00032553
                     80,                0.83075,                 0.5718,                 1.0256,                0.93835,                0.92384,                0.96736,                0.72651,                0.89643,                0.55385,                 1.0771,             0.00031138,             0.00031138,             0.00031138
                     81,                0.83079,                0.55703,                 1.0175,                0.95642,                0.89729,                0.96468,                0.74008,                0.86137,                0.54459,                 1.0656,             0.00029723,             0.00029723,             0.00029723
                     82,                0.84206,                 0.5574,                 1.0211,                0.89308,                0.95352,                0.96095,                0.73656,                0.87153,                0.54346,                 1.0594,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.8106,                0.53981,                 1.0163,                0.89561,                0.95046,                0.95871,                0.73404,                0.88995,                0.56326,                 1.0653,             0.00026894,             0.00026894,             0.00026894
                     84,                0.80109,                0.53985,                 1.0149,                0.92827,                0.94392,                0.96373,                0.73558,                0.89925,                0.55153,                 1.0732,             0.00025479,             0.00025479,             0.00025479
                     85,                0.80912,                0.53829,                 1.0109,                0.93011,                0.94379,                0.96821,                 0.7389,                0.88808,                0.53979,                 1.0792,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.8239,                0.55337,                 1.0168,                0.91751,                0.95046,                0.96695,                0.74104,                0.91194,                0.53852,                 1.0888,              0.0002265,              0.0002265,              0.0002265
                     87,                0.82063,                0.55213,                 1.0259,                0.92958,                0.96039,                0.96935,                0.75261,                0.86552,                0.52999,                 1.0696,             0.00021235,             0.00021235,             0.00021235
                     88,                0.80961,                 0.5204,                 1.0237,                0.89465,                0.97118,                0.96544,                 0.7375,                   0.89,                0.52844,                 1.0848,              0.0001982,              0.0001982,              0.0001982
                     89,                0.80952,                0.53454,                  1.013,                0.92439,                0.95373,                0.96676,                  0.745,                0.86787,                0.52242,                  1.078,             0.00018406,             0.00018406,             0.00018406
                     90,                0.79805,                0.54019,                 1.0115,                0.93291,                0.93319,                0.96752,                0.74935,                 0.8627,                0.52275,                 1.0655,             0.00016991,             0.00016991,             0.00016991
                     91,                0.74194,                0.46859,                0.98734,                0.92326,                0.94798,                0.96744,                0.74795,                0.86971,                0.52457,                 1.0686,             0.00015576,             0.00015576,             0.00015576
                     92,                0.73895,                0.46756,                0.99279,                0.93312,                0.94579,                0.96999,                0.74648,                0.85688,                0.51604,                 1.0664,             0.00014161,             0.00014161,             0.00014161
                     93,                0.72803,                0.45976,                0.98646,                0.94591,                0.91673,                0.96414,                0.74272,                0.85891,                0.53072,                 1.0677,             0.00012747,             0.00012747,             0.00012747
                     94,                0.71551,                0.45827,                0.97729,                0.90065,                0.96706,                0.96682,                0.73964,                 0.8742,                0.52851,                 1.0715,             0.00011332,             0.00011332,             0.00011332
                     95,                0.72173,                0.44788,                0.99242,                0.91992,                0.95601,                0.96619,                0.74425,                0.85932,                0.52356,                  1.069,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.71643,                0.45087,                0.98876,                0.92189,                0.95658,                0.96551,                0.74136,                0.86973,                  0.511,                 1.0774,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.71275,                0.43816,                0.98497,                0.93715,                0.94598,                0.96639,                0.74445,                0.86322,                0.50994,                 1.0763,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.70814,                0.44915,                0.98124,                0.92373,                0.94706,                0.96649,                0.75322,                0.84987,                0.50504,                 1.0707,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.6999,                0.43055,                0.97975,                0.94362,                0.94028,                 0.9664,                0.75026,                0.85599,                0.50491,                 1.0755,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.69431,                0.43746,                0.96503,                0.94167,                0.94176,                  0.967,                0.75171,                0.85555,                0.50008,                  1.077,             2.8437e-05,             2.8437e-05,             2.8437e-05
